Time_s,Temperature_C,Humidity_percent,Microphone,AccelX,AccelY,AccelZ,DynamicAccel,Spike_Binary,Spike_YesNo
0,23.3,33.1,0,-108,-4136,44,212.226930673304,0,No
2.24683284759521e-05,23.3,33.1,0,-124,-4120,24,202.437562954628,0,No
4.30560111999512e-05,23.3,33.1,0,-124,-4120,24,202.437562954628,0,No
6.34925365447998e-05,23.3,33.1,0,-124,-4120,24,202.437562954628,0,No
8.40127468109131e-05,23.3,33.1,0,-120,-4120,60,230.709557616024,0,No
0.000104902505874634,23.3,33.1,0,-120,-4120,60,230.709557616024,0,No
0.000125567436218262,23.3,33.1,0,-112,-4116,36,205.8075061114,0,No
0.000146125793457031,23.3,33.1,0,-112,-4116,36,205.8075061114,0,No
0.000166553020477295,23.3,33.1,0,-112,-4116,36,205.8075061114,0,No
0.000187003612518311,23.3,33.1,0,-88,-4108,48,205.561084459495,0,No
0.000207343101501465,23.3,33.1,0,-88,-4108,48,205.561084459495,0,No
0.000227798461914063,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.000248201370239258,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.000268764019012451,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.000289336442947388,23.3,33.1,0,-104,-4144,40,207.976674194106,0,No
0.000310071468353272,23.3,33.1,0,-104,-4144,40,207.976674194106,0,No
0.000330567359924316,23.3,33.1,0,-108,-4112,44,210.710782388174,0,No
0.000350925207138062,23.3,33.1,0,-108,-4112,44,210.710782388174,0,No
0.000371461868286133,23.3,33.1,0,-108,-4112,44,210.710782388174,0,No
0.000391971588134766,23.3,33.1,0,-104,-4112,52,215.935663502368,0,No
0.000412811517715454,23.3,33.1,0,-104,-4112,52,215.935663502368,0,No
0.00043353533744812,23.3,33.1,0,-104,-4112,52,215.935663502368,0,No
0.000454200267791748,23.3,33.1,0,-100,-4124,24,189.80863897717,0,No
0.000474443674087524,23.3,33.1,0,-100,-4124,24,189.80863897717,0,No
0.00049488091468811,23.3,33.1,0,-108,-4116,52,217.825243831301,0,No
0.00051550555229187,23.3,33.1,0,-108,-4116,52,217.825243831301,0,No
0.000536330223083496,23.3,33.1,0,-108,-4116,52,217.825243831301,0,No
0.000556704998016357,23.3,33.1,0,-120,-4132,48,221.175547107651,0,No
0.000576994180679321,23.3,33.1,0,-120,-4132,48,221.175547107651,0,No
0.000597782135009766,23.3,33.1,0,-116,-4116,52,221.651401025627,0,No
0.000618596076965332,23.3,33.1,0,-116,-4116,52,221.651401025627,0,No
0.000639738082885742,23.3,33.1,0,-116,-4116,52,221.651401025627,0,No
0.000660206317901611,23.3,33.1,0,-96,-4112,36,198.047578637432,0,No
0.000680670738220215,23.3,33.1,0,-96,-4112,36,198.047578637432,0,No
0.000701130867004394,23.3,33.1,0,-112,-4116,52,219.710241484994,0,No
0.000721864223480225,23.3,33.1,0,-112,-4116,52,219.710241484994,0,No
0.000742409944534302,23.3,33.1,0,-112,-4116,52,219.710241484994,0,No
0.000762896776199341,23.3,33.1,0,-116,-4124,52,221.988938927329,0,No
0.000783612966537476,23.3,33.1,0,-116,-4124,52,221.988938927329,0,No
0.000804336547851563,23.3,33.1,0,-108,-4132,52,218.804313735088,0,No
0.00082459831237793,23.3,33.1,0,-108,-4132,52,218.804313735088,0,No
0.000845505714416504,23.3,33.1,0,-108,-4132,52,218.804313735088,0,No
0.000865889072418213,23.3,33.1,0,-116,-4132,56,226.088035057011,0,No
0.000886260271072388,23.3,33.1,0,-116,-4132,56,226.088035057011,0,No
0.000906560182571411,23.3,33.1,0,-116,-4132,56,226.088035057011,0,No
0.000927577018737793,23.3,33.1,0,-112,-4116,48,216.207365862022,0,No
0.000948291540145874,23.3,33.1,0,-112,-4116,48,216.207365862022,0,No
0.000968630313873291,23.3,33.1,0,-100,-4108,40,203.43964513597,0,No
0.000989313840866089,23.3,33.1,0,-100,-4108,40,203.43964513597,0,No
0.00101004147529602,23.3,33.1,0,-100,-4108,40,203.43964513597,0,No
0.00103072261810303,23.3,33.1,0,-120,-4136,56,228.454428002388,0,No
0.00105170726776123,23.3,33.1,0,-120,-4136,56,228.454428002388,0,No
0.00107242751121521,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.001092942237854,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.00111355876922607,23.3,33.1,0,-108,-4116,48,214.291557672638,0,No
0.00113447093963623,23.3,33.1,0,-104,-4116,56,219.576976587568,0,No
0.00115486168861389,23.3,33.1,0,-104,-4116,56,219.576976587568,0,No
0.00117509317398071,23.3,33.1,0,-104,-4116,56,219.576976587568,0,No
0.00119562792778015,23.3,33.1,0,-112,-4132,36,206.843468426515,0,No
0.00121626496315002,23.3,33.1,0,-112,-4132,36,206.843468426515,0,No
0.00123814368247986,23.3,33.1,0,-100,-4092,44,207.824838540856,0,No
0.00125904369354248,23.3,33.1,0,-100,-4092,44,207.824838540856,0,No
0.00127970957756042,23.3,33.1,0,-100,-4092,44,207.824838540856,0,No
0.00130053567886353,23.3,33.1,0,-116,-4124,40,211.646387932516,0,No
0.00132142210006714,23.3,33.1,0,-116,-4124,40,211.646387932516,0,No
0.00134209132194519,23.3,33.1,0,-112,-4108,40,209.203129285237,0,No
0.00136308455467224,23.3,33.1,0,-112,-4108,40,209.203129285237,0,No
0.00138363146781921,23.3,33.1,0,-112,-4108,40,209.203129285237,0,No
0.0014045078754425,23.3,33.1,0,-108,-4136,52,219.230929441564,0,No
0.00142541575431824,23.3,33.1,0,-108,-4136,52,219.230929441564,0,No
0.00144617056846619,23.3,33.1,0,-112,-4112,44,212.658851632997,0,No
0.00146677136421204,23.3,33.1,0,-112,-4112,44,212.658851632997,0,No
0.00148740530014038,23.3,33.1,0,-112,-4112,44,212.658851632997,0,No
0.0015083487033844,23.3,33.1,0,-104,-4112,44,208.821168590274,0,No
0.00152888464927673,23.3,33.1,0,-104,-4112,44,208.821168590274,0,No
0.00154989194869995,23.3,33.1,0,-112,-4120,56,223.361653129009,0,No
0.00157053685188293,23.3,33.1,0,-112,-4120,56,223.361653129009,0,No
0.00159097075462341,23.3,33.1,0,-112,-4120,56,223.361653129009,0,No
0.00161154198646545,23.3,33.1,0,-108,-4136,48,215.720270868112,0,No
0.00163228034973145,23.3,33.1,0,-108,-4136,48,215.720270868112,0,No
0.00165453004837036,23.3,33.1,0,-108,-4136,48,215.720270868112,0,No
0.00167590999603271,23.3,32.6,0,-120,-4116,44,216.785992672616,0,No
0.00169651937484741,23.3,32.6,0,-120,-4116,44,216.785992672616,0,No
0.00171691107749939,23.3,32.6,0,-120,-4116,44,216.785992672616,0,No
0.00173773407936096,23.3,32.6,0,-112,-4136,32,203.892442196958,0,No
0.00175893354415894,23.3,32.6,0,-112,-4136,32,203.892442196958,0,No
0.00177955412864685,23.3,32.6,0,-112,-4136,32,203.892442196958,0,No
