Time_s,AccelX,AccelY,AccelZ,TotalAccel,RelativeAccel_Percent,Spike_Binary,Spike_YesNo
0,-108,-4136,44,4137.64377393705,-0.812714940290816,0,No
2.24683284759521e-05,-124,-4120,24,4121.93546771417,-1.18927327451675,0,No
4.30560111999512e-05,-124,-4120,24,4121.93546771417,-1.18927327451675,0,No
6.34925365447998e-05,-124,-4120,24,4121.93546771417,-1.18927327451675,0,No
8.40127468109131e-05,-120,-4120,60,4122.18388721318,-1.18331818098771,0,No
0.000104902505874634,-120,-4120,60,4122.18388721318,-1.18331818098771,0,No
0.000125567436218262,-112,-4116,36,4117.68090070127,-1.29126343465865,0,No
0.000146125793457031,-112,-4116,36,4117.68090070127,-1.29126343465865,0,No
0.000166553020477295,-112,-4116,36,4117.68090070127,-1.29126343465865,0,No
0.000187003612518311,-88,-4108,48,4109.2227975616,-1.49402044638179,0,No
0.000207343101501465,-88,-4108,48,4109.2227975616,-1.49402044638179,0,No
0.000227798461914063,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.000248201370239258,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.000268764019012451,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.000289336442947388,-104,-4144,40,4145.49779881741,-0.624438847123515,0,No
0.000310071468353272,-104,-4144,40,4145.49779881741,-0.624438847123515,0,No
0.000330567359924316,-108,-4112,44,4113.65336410349,-1.3878112387804,0,No
0.000350925207138062,-108,-4112,44,4113.65336410349,-1.3878112387804,0,No
0.000371461868286133,-108,-4112,44,4113.65336410349,-1.3878112387804,0,No
0.000391971588134766,-104,-4112,52,4113.64364037528,-1.38804433526111,0,No
0.000412811517715454,-104,-4112,52,4113.64364037528,-1.38804433526111,0,No
0.00043353533744812,-104,-4112,52,4113.64364037528,-1.38804433526111,0,No
0.000454200267791748,-100,-4124,24,4125.2820509633,-1.10904923280508,0,No
0.000474443674087524,-100,-4124,24,4125.2820509633,-1.10904923280508,0,No
0.00049488091468811,-108,-4116,52,4117.74501396092,-1.28972651642485,0,No
0.00051550555229187,-108,-4116,52,4117.74501396092,-1.28972651642485,0,No
0.000536330223083496,-108,-4116,52,4117.74501396092,-1.28972651642485,0,No
0.000556704998016357,-120,-4132,48,4134.02080304393,-0.899564525796897,0,No
0.000576994180679321,-120,-4132,48,4134.02080304393,-0.899564525796897,0,No
0.000597782135009766,-116,-4116,52,4117.96260303563,-1.2845104875063,0,No
0.000618596076965332,-116,-4116,52,4117.96260303563,-1.2845104875063,0,No
0.000639738082885742,-116,-4116,52,4117.96260303563,-1.2845104875063,0,No
0.000660206317901611,-96,-4112,36,4113.27801151344,-1.39680916281188,0,No
0.000680670738220215,-96,-4112,36,4113.27801151344,-1.39680916281188,0,No
0.000701130867004394,-112,-4116,52,4117.85186717541,-1.28716503921118,0,No
0.000721864223480225,-112,-4116,52,4117.85186717541,-1.28716503921118,0,No
0.000742409944534302,-112,-4116,52,4117.85186717541,-1.28716503921118,0,No
0.000762896776199341,-116,-4124,52,4125.95879766146,-1.09282631190356,0,No
0.000783612966537476,-116,-4124,52,4125.95879766146,-1.09282631190356,0,No
0.000804336547851563,-108,-4132,52,4133.73825973537,-0.906337632719427,0,No
0.00082459831237793,-108,-4132,52,4133.73825973537,-0.906337632719427,0,No
0.000845505714416504,-108,-4132,52,4133.73825973537,-0.906337632719427,0,No
0.000865889072418213,-116,-4132,56,4134.00725688768,-0.899889253234797,0,No
0.000886260271072388,-116,-4132,56,4134.00725688768,-0.899889253234797,0,No
0.000906560182571411,-116,-4132,56,4134.00725688768,-0.899889253234797,0,No
0.000927577018737793,-112,-4116,48,4117.80329787619,-1.28832933879575,0,No
0.000948291540145874,-112,-4116,48,4117.80329787619,-1.28832933879575,0,No
0.000968630313873291,-100,-4108,40,4109.41163671881,-1.48949360832127,0,No
0.000989313840866089,-100,-4108,40,4109.41163671881,-1.48949360832127,0,No
0.00101004147529602,-100,-4108,40,4109.41163671881,-1.48949360832127,0,No
0.00103072261810303,-120,-4136,56,4138.11937962162,-0.801313756624695,0,No
0.00105170726776123,-120,-4136,56,4138.11937962162,-0.801313756624695,0,No
0.00107242751121521,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.001092942237854,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.00111355876922607,-108,-4116,48,4117.69644340133,-1.29089084622272,0,No
0.00113447093963623,-104,-4116,56,4117.69450056703,-1.29093741970029,0,No
0.00115486168861389,-104,-4116,56,4117.69450056703,-1.29093741970029,0,No
0.00117509317398071,-104,-4116,56,4117.69450056703,-1.29093741970029,0,No
0.00119562792778015,-112,-4132,36,4133.67439453085,-0.907868604594229,0,No
0.00121626496315002,-112,-4132,36,4133.67439453085,-0.907868604594229,0,No
0.00123814368247986,-100,-4092,44,4093.4581957069,-1.8719282952557,0,No
0.00125904369354248,-100,-4092,44,4093.4581957069,-1.8719282952557,0,No
0.00127970957756042,-100,-4092,44,4093.4581957069,-1.8719282952557,0,No
0.00130053567886353,-116,-4124,40,4125.82500840741,-1.09603349782977,0,No
0.00132142210006714,-116,-4124,40,4125.82500840741,-1.09603349782977,0,No
0.00134209132194519,-112,-4108,40,4109.72115842426,-1.48207377729977,0,No
0.00136308455467224,-112,-4108,40,4109.72115842426,-1.48207377729977,0,No
0.00138363146781921,-112,-4108,40,4109.72115842426,-1.48207377729977,0,No
0.0014045078754425,-108,-4136,52,4137.736579339,-0.810490216181747,0,No
0.00142541575431824,-108,-4136,52,4137.736579339,-0.810490216181747,0,No
0.00144617056846619,-112,-4112,44,4113.76032359689,-1.38524721385681,0,No
0.00146677136421204,-112,-4112,44,4113.76032359689,-1.38524721385681,0,No
0.00148740530014038,-112,-4112,44,4113.76032359689,-1.38524721385681,0,No
0.0015083487033844,-104,-4112,44,4113.55029141495,-1.39028208951077,0,No
0.00152888464927673,-104,-4112,44,4113.55029141495,-1.39028208951077,0,No
0.00154989194869995,-112,-4120,56,4121.90247337319,-1.1900642123748,0,No
0.00157053685188293,-112,-4120,56,4121.90247337319,-1.1900642123748,0,No
0.00159097075462341,-112,-4120,56,4121.90247337319,-1.1900642123748,0,No
0.00161154198646545,-108,-4136,48,4137.68824345189,-0.811648920428687,0,No
0.00163228034973145,-108,-4136,48,4137.68824345189,-0.811648920428687,0,No
0.00165453004837036,-108,-4136,48,4137.68824345189,-0.811648920428687,0,No
0.00167590999603271,-120,-4116,44,4117.98397277114,-1.2839982138154,0,No
0.00169651937484741,-120,-4116,44,4117.98397277114,-1.2839982138154,0,No
0.00171691107749939,-120,-4116,44,4117.98397277114,-1.2839982138154,0,No
0.00173773407936096,-112,-4136,32,4137.63990700012,-0.812807638211587,0,No
0.00175893354415894,-112,-4136,32,4137.63990700012,-0.812807638211587,0,No
0.00177955412864685,-112,-4136,32,4137.63990700012,-0.812807638211587,0,No
0.00180042910575867,-104,-4120,60,4121.7491432643,-1.19373983020207,0,No
0.0018211555480957,-104,-4120,60,4121.7491432643,-1.19373983020207,0,No
