timestamp,temp,hum,mic,ax,ay,az
1773541212.7982075,23.3,33.1,0,-108,-4136,44
1773541212.8206758,23.3,33.1,0,-124,-4120,24
1773541212.8412635,23.3,33.1,0,-124,-4120,24
1773541212.8617,23.3,33.1,0,-124,-4120,24
1773541212.8822203,23.3,33.1,0,-120,-4120,60
1773541212.90311,23.3,33.1,0,-120,-4120,60
1773541212.923775,23.3,33.1,0,-112,-4116,36
1773541212.9443333,23.3,33.1,0,-112,-4116,36
1773541212.9647605,23.3,33.1,0,-112,-4116,36
1773541212.9852111,23.3,33.1,0,-88,-4108,48
1773541213.0055506,23.3,33.1,0,-88,-4108,48
1773541213.026006,23.3,33.1,0,-108,-4116,48
1773541213.046409,23.3,33.1,0,-108,-4116,48
1773541213.0669715,23.3,33.1,0,-108,-4116,48
1773541213.087544,23.3,33.1,0,-104,-4144,40
1773541213.108279,23.3,33.1,0,-104,-4144,40
1773541213.128775,23.3,33.1,0,-108,-4112,44
1773541213.1491327,23.3,33.1,0,-108,-4112,44
1773541213.1696694,23.3,33.1,0,-108,-4112,44
1773541213.190179,23.3,33.1,0,-104,-4112,52
1773541213.211019,23.3,33.1,0,-104,-4112,52
1773541213.2317429,23.3,33.1,0,-104,-4112,52
1773541213.2524078,23.3,33.1,0,-100,-4124,24
1773541213.2726512,23.3,33.1,0,-100,-4124,24
1773541213.2930884,23.3,33.1,0,-108,-4116,52
1773541213.313713,23.3,33.1,0,-108,-4116,52
1773541213.3345377,23.3,33.1,0,-108,-4116,52
1773541213.3549125,23.3,33.1,0,-120,-4132,48
1773541213.3752017,23.3,33.1,0,-120,-4132,48
1773541213.3959897,23.3,33.1,0,-116,-4116,52
1773541213.4168036,23.3,33.1,0,-116,-4116,52
1773541213.4379456,23.3,33.1,0,-116,-4116,52
1773541213.4584138,23.3,33.1,0,-96,-4112,36
1773541213.4788783,23.3,33.1,0,-96,-4112,36
1773541213.4993384,23.3,33.1,0,-112,-4116,52
1773541213.5200717,23.3,33.1,0,-112,-4116,52
1773541213.5406175,23.3,33.1,0,-112,-4116,52
1773541213.5611043,23.3,33.1,0,-116,-4124,52
1773541213.5818205,23.3,33.1,0,-116,-4124,52
1773541213.602544,23.3,33.1,0,-108,-4132,52
1773541213.6228058,23.3,33.1,0,-108,-4132,52
1773541213.6437132,23.3,33.1,0,-108,-4132,52
1773541213.6640966,23.3,33.1,0,-116,-4132,56
1773541213.6844678,23.3,33.1,0,-116,-4132,56
1773541213.7047677,23.3,33.1,0,-116,-4132,56
1773541213.7257845,23.3,33.1,0,-112,-4116,48
1773541213.746499,23.3,33.1,0,-112,-4116,48
1773541213.7668378,23.3,33.1,0,-100,-4108,40
1773541213.7875214,23.3,33.1,0,-100,-4108,40
1773541213.808249,23.3,33.1,0,-100,-4108,40
1773541213.8289301,23.3,33.1,0,-120,-4136,56
1773541213.8499148,23.3,33.1,0,-120,-4136,56
1773541213.870635,23.3,33.1,0,-108,-4116,48
1773541213.8911498,23.3,33.1,0,-108,-4116,48
1773541213.9117663,23.3,33.1,0,-108,-4116,48
1773541213.9326785,23.3,33.1,0,-104,-4116,56
1773541213.9530692,23.3,33.1,0,-104,-4116,56
1773541213.9733007,23.3,33.1,0,-104,-4116,56
1773541213.9938354,23.3,33.1,0,-112,-4132,36
1773541214.0144725,23.3,33.1,0,-112,-4132,36
1773541214.0363512,23.3,33.1,0,-100,-4092,44
1773541214.0572512,23.3,33.1,0,-100,-4092,44
1773541214.077917,23.3,33.1,0,-100,-4092,44
1773541214.0987432,23.3,33.1,0,-116,-4124,40
1773541214.1196296,23.3,33.1,0,-116,-4124,40
1773541214.1402988,23.3,33.1,0,-112,-4108,40
1773541214.161292,23.3,33.1,0,-112,-4108,40
1773541214.181839,23.3,33.1,0,-112,-4108,40
1773541214.2027154,23.3,33.1,0,-108,-4136,52
1773541214.2236233,23.3,33.1,0,-108,-4136,52
1773541214.244378,23.3,33.1,0,-112,-4112,44
1773541214.264979,23.3,33.1,0,-112,-4112,44
1773541214.2856128,23.3,33.1,0,-112,-4112,44
1773541214.3065562,23.3,33.1,0,-104,-4112,44
1773541214.3270922,23.3,33.1,0,-104,-4112,44
1773541214.3480995,23.3,33.1,0,-112,-4120,56
1773541214.3687444,23.3,33.1,0,-112,-4120,56
1773541214.3891783,23.3,33.1,0,-112,-4120,56
1773541214.4097495,23.3,33.1,0,-108,-4136,48
1773541214.4304879,23.3,33.1,0,-108,-4136,48
1773541214.4527376,23.3,33.1,0,-108,-4136,48
1773541214.4741175,23.3,32.6,0,-120,-4116,44
1773541214.494727,23.3,32.6,0,-120,-4116,44
1773541214.5151186,23.3,32.6,0,-120,-4116,44
1773541214.5359416,23.3,32.6,0,-112,-4136,32
1773541214.557141,23.3,32.6,0,-112,-4136,32
1773541214.5777617,23.3,32.6,0,-112,-4136,32
1773541214.5986366,23.3,32.6,0,-104,-4120,60
1773541214.619363,23.3,32.6,0,-104,-4120,60
1773541214.6403117,23.3,32.6,0,-120,-4104,40
1773541214.6608021,23.3,32.6,0,-120,-4104,40
1773541214.6814904,23.3,32.6,0,-120,-4104,40
1773541214.7019136,23.3,32.6,0,-104,-4120,44
1773541214.7231917,23.3,32.6,0,-104,-4120,44
1773541214.743637,23.3,32.6,0,-108,-4120,48
1773541214.7643812,23.3,32.6,0,-108,-4120,48
1773541214.7851677,23.3,32.6,0,-108,-4120,48
1773541214.806587,23.3,32.6,0,-108,-4108,44
